true_class,total,correct,accuracy
apple,3.0,3.0,1.0
banana,3.0,3.0,1.0
beetroot,3.0,1.0,0.3333333333333333
bell pepper,3.0,2.0,0.6666666666666666
cabbage,3.0,2.0,0.6666666666666666
capsicum,3.0,0.0,0.0
carrot,3.0,3.0,1.0
cauliflower,3.0,3.0,1.0
chilli pepper,3.0,3.0,1.0
corn,3.0,1.0,0.3333333333333333
cucumber,3.0,1.0,0.3333333333333333
eggplant,3.0,2.0,0.6666666666666666
garlic,3.0,3.0,1.0
ginger,3.0,3.0,1.0
grapes,3.0,3.0,1.0
jalepeno,3.0,3.0,1.0
kiwi,3.0,3.0,1.0
lemon,3.0,2.0,0.6666666666666666
lettuce,3.0,2.0,0.6666666666666666
mango,3.0,3.0,1.0
onion,3.0,3.0,1.0
orange,3.0,1.0,0.3333333333333333
paprika,3.0,2.0,0.6666666666666666
pear,3.0,3.0,1.0
peas,3.0,2.0,0.6666666666666666
pineapple,3.0,3.0,1.0
pomegranate,3.0,2.0,0.6666666666666666
potato,3.0,2.0,0.6666666666666666
raddish,3.0,2.0,0.6666666666666666
soy beans,3.0,0.0,0.0
spinach,3.0,3.0,1.0
sweetcorn,3.0,2.0,0.6666666666666666
sweetpotato,3.0,2.0,0.6666666666666666
tomato,3.0,2.0,0.6666666666666666
turnip,3.0,2.0,0.6666666666666666
watermelon,3.0,3.0,1.0
